diaObjectId,ra,dec,g_psfFluxMean,r_psfFluxMean,i_psfFluxMean,g_psfFluxSigma,r_psfFluxSigma,i_psfFluxSigma,g_psfFluxChi2,r_psfFluxChi2,i_psfFluxChi2,g_psfFluxStetsonJ,r_psfFluxStetsonJ,i_psfFluxStetsonJ,g_psfFluxMAD,r_psfFluxMAD,i_psfFluxMAD,g_psfFluxNdata,r_psfFluxNdata,i_psfFluxNdata,nDiaSources,Region,Class
604064060438217129,40.20202776302495,-34.29252138169777,,-3544.424072265625,206.6979217529297,,4331.009566400354,3029.584291438768,,3121.96,1192.94,,19.78244186369809,10.944067369692359,,3343.6,1143.61,,8.0,11.0,19,Fornax,RR Lyrae
604063510682403181,39.775054686642115,-34.50056595760873,,-1307.3775634765625,,,89.90509606770166,,,0.754829,,,-0.9120036050811868,,,37.7476,,,6.0,,6,Fornax,RR Lyrae
604064129157694658,39.81777934884139,-34.401150192300065,,6898.19287109375,-381.65179443359375,,475.21405029296875,2539.243852842765,,28.0874,885.014,,1.365473677295431,9.260097157516876,,261.034,2457.8,,5.0,10.0,15,Fornax,RR Lyrae
604064129157694654,39.809508174187656,-34.32389667280105,,2946.05908203125,-382.54779052734375,,146.78897094726562,1793.926239966464,,2.35755,378.732,,-0.3884962899458836,5.923702425081335,,145.199,1069.13,,5.0,9.0,14,Fornax,RR Lyrae
604064197877170956,39.7459524684158,-34.33571443391973,,-2024.829833984375,1674.1776123046875,,305.4188313826843,338.3290156113254,,11.2972,1.94287,,0.7796250767212081,0.9709497946761927,,180.606,239.235,,5.0,2.0,7,Fornax,RR Lyrae
604064816352460877,39.95325060804841,-34.26174433946193,,-1479.9381103515625,-460.08404541015625,,1683.347220148452,2091.9066872379544,,463.817,446.208,,5.311423913564342,4.982709707815681,,1003.83,287.071,,8.0,9.0,17,Fornax,RR Lyrae
605447864541249749,39.88854129690472,-34.03373449841846,,-2851.52978515625,42.07802963256836,,,3312.502502129627,,0.0,190.514,,,7.319737601262939,,0.0,1527.03,,1.0,3.0,4,Fornax,RR Lyrae
604062754768160433,39.822447335500584,-34.77667674968944,,,1552.3702392578125,,,,,,1.99289e-13,,,,,,0.0,,,1.0,1,Fornax,RR Lyrae
592913981740417050,58.835036580265594,-48.79121325837336,21831.12890625,-5911.0986328125,31229.3359375,112893.13839008525,70134.14750855752,43127.776854929405,1349680.0,883580.0,159008.0,116.20099552495104,86.80830338362972,55.280969602730984,10411.0,38379.5,25812.9,43.0,69.0,36.0,207,EDFS,RR Lyrae
614439120877387848,95.01350845508662,-24.443539415985143,,59789.47265625,-198197.65625,,211665.3131306927,,,63576.9,5.45547e-11,,119.91869495410629,,,104605.0,0.0,,4.0,1.0,11,LGLF,RR Lyrae
