decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ,rPSFluxSkew
-44.54144,1249546586455801971,2408650.621357,998.3557133,216.8549057,157622.7976744,1540782.0471482,319038.6484077,251.7827271,-82003.3792638,13.0,514760.5201916,334.5415623,0.9185856
-44.4788928,1249546586455802041,67.5462384,435.8035513,0.5437813,991.5984731,808.1750849,-1195.558642,121.290209,-2489.2339494,12.0,1090.1795364,1.9497823,0.218882
-44.5237979,1249546586455802987,154485.5745179,440.5556877,-786.4598403,38825.4302669,161151.3682937,28850.2764313,226.1517417,-40909.89035,3.0,107224.1436944,260.0627687,-1.4800851
-44.5809158,1249546586455801976,147689.4426792,1032.1551475,-18.6321344,4523.5367407,29843.2094058,399.817326,166.5581032,-296728.1297506,38.0,50778.2331251,14.7927284,-6.0292024
-44.5144228,1249546586455802038,171.1596926,290.7957884,-0.6021497,766.8140622,1964.1084219,250.9835053,85.7533899,-1860.4364834,11.0,1171.1778758,3.1063156,-0.3695176
-44.5181497,1249546586455802054,103.7864887,235.3730232,6.0400372,167.7664494,1188.5318136,-147.4848911,130.4142656,-1543.6108502,3.0,1531.2725909,5.1638457,1.7086907
-44.476032,1249546586455802006,0.6935473,359.2760402,-0.2296496,125.4923112,-1557.2067639,-1721.902895,206.2775312,-1984.9154744,3.0,219.8551846,-0.7849502,-1.1191689
-44.4788481,1249546586455802005,58.4984978,327.9103945,0.496071,107.7157625,1547.9935164,696.6085153,185.7660394,-1843.6667542,3.0,1927.8335686,2.877631,-1.7259696
-44.504611,1249546586455802056,23576.396878,344.8648986,53.353224,16595.2357038,54299.1422928,6597.7804862,168.9720665,-14142.6968093,4.0,31625.2707361,73.3040638,0.9423012
-44.5184093,1249546586455802001,104211.9166991,494.4180361,63.9018923,31522.2491446,241180.4138473,68342.8283492,213.7146334,15592.9331832,5.0,92839.193389,121.4967711,1.4620879
-44.5041824,1249546586455802003,50914.6262811,346.3517112,24.2251197,6775.9543563,53770.1939968,-10501.8267376,113.8623305,-48237.8190163,9.0,30149.8147308,57.3870521,1.0845007
-44.4883752,1249546586455802004,71037.3813355,493.5797469,-23.6545042,21348.1089782,149698.7887184,79484.5447193,240.6282357,-1855.543857,4.0,67544.3156373,114.2775911,-1.6121206
-44.4882504,1249546586455801956,368860.2896864,574.6121481,-201.4089307,56570.1610949,307693.6102319,76531.914967,220.1909179,-8579.3862129,5.0,163395.9306156,278.1833187,-0.5292199
-44.5580755,1249546586455802026,3465.7982101,261.9781114,12.3834089,5097.5121982,-19225.5590832,-28899.623594,150.1726956,-39626.4773093,3.0,10617.4096899,33.044596,-1.2938333
-44.6524406,1249071597432603711,16.7978083,330.1030552,-0.559233,360.1881419,2438.5024382,1506.1718119,123.3195774,572.1108783,7.0,591.0129429,0.5753345,-0.1169234
-44.589967,1249071597432603488,18.2391623,506.7536851,1.9312998,977.8087775,4981.5024156,3480.4957752,251.3730664,2245.6041901,4.0,1218.1418985,1.7668296,-0.0129599
-44.6211844,1249062801339582391,16.4850214,209.0559158,18.9079905,212.3934597,1182.424966,800.0632816,119.1403301,-20.0791749,3.0,641.8003781,1.5308843,-1.5211005
-44.5953395,1249062801339582393,15038.8312559,281.807609,442.5121605,15355.4844337,30329.4785443,5116.8571911,137.0826973,-12224.2635079,4.0,19393.9218639,62.3577006,-0.1027075
-44.6533844,1249071597432603712,421.214351,643.3172228,-8.0557551,2299.1782201,5288.346838,-55.4681846,154.349378,-7441.405086,17.0,3254.5802243,3.5824186,-0.4262256
-44.5211938,1249071597432603702,18680.9741587,414.1835944,7.1778147,15053.1583458,-22049.4545639,-71370.3465948,180.0615161,-97761.0196328,5.0,29348.1920142,55.2475925,1.0549307
-44.4708911,1249071597432603406,0.1775346,313.2206235,0.0242385,4.2249484,1789.4026501,1656.7080882,175.615618,1612.9010096,3.0,100.7057909,-0.9535253,1.7286218
-44.5522063,1249071597432603417,76953.9299424,489.1600072,-410.9850198,841.8943117,189604.4338648,32709.3080468,268.6476053,-3117.6848456,3.0,111025.9311614,125.839533,1.7319388
-44.6156875,1249071597432603722,162696.4038031,564.3551934,10.4886494,51521.6185768,278875.0303412,142450.647902,218.8669267,25152.8665842,6.0,89406.8532632,136.274302,-0.7565224
