decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ
-44.5531359,1248649384967539037,2891.0163743,612.4304211,596819.1340111,22909.952528,-118698.4253626,-140425.0890986,352.5737733,-165233.5044028,3.0,23268.4554309,30.7842658
-44.4932647,1248631792781492827,30032.2692125,420.9932578,183.8446929,2599.4227173,109675.6802418,69118.5803169,234.8624952,26826.1058883,3.0,47100.7710599,98.6915808
-44.5602052,1248649384967539047,57469.7736776,872.879296,-3852.6347643,57705.7334532,488834.2269223,371848.1865735,433.1991991,228652.2785643,4.0,115774.4914493,114.4946521
-44.5721531,1248640588874514991,143027.3306049,603.5172457,-129.4668905,53214.9785966,339964.6099207,171121.5274355,238.4308352,53275.2357209,6.0,97208.7004861,131.7556843
-44.6057439,1248640588874514990,121135.5329884,644.6772118,-94.91207,21819.2289335,226691.1465624,124560.1880354,273.4547176,8192.6966565,5.0,92040.6713012,140.7355989
-44.6163474,1248640588874514989,227.6094635,348.3550037,-1.516592,863.2302972,2544.2740383,-661.8299691,97.1407394,-2169.9776959,12.0,1629.0953349,3.2169216
-44.4732828,1248640588874514995,1.5049758,230.262055,0.5090823,202.0662931,-945.6973725,-1087.362373,157.1825645,-1349.8299587,2.0,285.7648922,0.3096803
-44.5103815,1248640588874514993,0.5517846,198.119013,-0.293006,104.465182,-896.2267041,-982.4446161,138.4708217,-1105.1570681,2.0,147.7360772,-0.662425
-44.6531163,1248640588874516251,6.7261587,200.3757718,-12.968614,368.2384837,-371.7554608,-692.3270495,140.7914332,-1108.2324283,2.0,520.7678579,1.7262523
-44.6259478,1248640588874515929,6888.9327377,298.6192385,-345.562232,7569.7290799,24018.3292321,688.2827984,147.0940389,-9988.3762382,4.0,15375.8057048,43.6796265
-44.6194329,1248640588874515062,6.0340237,580.9747882,-230.2197537,1022.3464143,-2218.4290108,-2917.2632512,394.8055942,-4263.1218395,2.0,1445.8161646,1.4604783
-44.6420121,1248649384967539552,3494.3482898,298.8273369,-418.2516248,3628.9721112,5169.798545,-2887.88035,170.5033556,-19375.705493,3.0,13248.6006488,30.4716443
-44.6406431,1248649384967539551,23810.1511496,514.368596,2045.9465786,56157.4342579,-67544.6730596,-119769.3350652,363.0434378,-179859.5415753,2.0,79418.6051556,148.6638441
-44.5693403,1248649384967539549,3.980468,198.6149962,-81.9757305,281.2349174,-971.7178259,-1204.8609938,138.8857628,-1534.1876607,2.0,397.7262344,1.2408245
-44.5373154,1248631792781494037,23.601797,841.0855586,-278026.467254,2889.3900604,61147.6623627,58294.3420894,594.702544,55368.8822419,2.0,4086.2146104,4.1379243
-44.5905703,1248640588874515950,27736.0985703,319.4066291,-335.236467,15058.2506722,18725.2964432,-33083.6754314,153.4302323,-50003.71166,4.0,32411.2965423,76.4996999
-44.625908,1248640588874515957,387.5014189,254.2473353,-624.7462279,1968.0121208,-6449.002979,-9641.8610812,144.7789945,-12951.8721423,3.0,3334.7990309,11.0555187
-44.6057645,1248649384967539732,3.8801541,362.0569022,22.0982043,508.7233134,2571.5404727,1930.0567448,249.3106507,1554.0938459,2.0,719.4434093,1.0745624
-44.5712513,1248640588874515901,5.332663,404.8880945,-21.1139306,686.3039747,-1436.1783762,-1767.6950857,254.4046468,-2808.7863256,2.0,970.5803889,1.2272538
-44.4726253,1248649384967539709,0.0,123.5196523,-0.0120642,0.0,-739.8420043,-739.8420043,87.3415837,-739.8420043,2.0,0.0,-1.0
