decl,diaObjectId,gPSFluxChi2,gPSFluxErrMean,gPSFluxLinearSlope,gPSFluxMAD,gPSFluxMax,gPSFluxMean,gPSFluxMeanErr,gPSFluxMin,gPSFluxNdata,gPSFluxSigma,gPSFluxStetsonJ
-44.5402297,1252985858827485269,3.5778838,157.5733911,-0.0799005,95.6256067,1207.4116915,965.9381879,78.4644378,809.8495556,4.0,178.1945568,-0.0008238
-44.5533736,1252985858827485268,106.5259669,163.9731268,-0.7704801,256.0542068,1402.9456866,472.4090295,80.8015088,-679.7864306,4.0,904.7001304,3.526941
-44.5212683,1252985858827485623,10159.9602802,639.9390202,-112.4850245,1866.5549393,364252.9947117,306032.7097342,368.1534854,281453.962153,3.0,47274.4288766,49.7083111
-44.5183367,1252985858827485580,26.0788863,198.7267901,-0.7082561,346.1442466,384.6253198,-294.7023768,96.239456,-841.9719807,4.0,532.5197565,2.1019001
-44.5048441,1252985858827485279,103.2143612,221.0808507,0.2713558,275.5423126,3465.8493973,2144.43596,46.8679547,1495.4410406,22.0,478.4649631,1.0803767
-44.4893323,1252985858827485682,0.0012853,137.696057,0.008248,0.5615693,797.8605157,795.48166,79.4252175,791.6544182,3.0,3.4324847,-0.9996786
-44.4745433,1252985858827485231,86.5922888,353.9179578,-0.5854946,702.2142391,2548.3287355,983.8378433,97.0300602,-560.4949947,13.0,907.3413858,1.7964756
-44.4728115,1252985858827485230,57.4777339,292.5553741,1.4933918,807.9463029,1240.4316111,61.3430129,145.9723612,-1678.0278454,4.0,1316.4239593,3.5787822
-44.4760386,1252985858827485229,27.2989318,167.3426708,-0.6145148,337.4474835,1079.7994927,442.1864928,83.4065666,-123.9393366,4.0,509.4154416,2.0592387
-44.5183182,1252985858827485235,877568.5686178,937.7205019,22.8075295,88096.2834932,852440.006461,364602.811106,388.5583692,-55170.3549952,5.0,345208.2542886,321.8340817
-44.4760243,1252985858827485431,80.4307191,119.0819532,0.277131,292.3519914,863.6405549,-271.4299033,64.2647411,-746.8718081,3.0,857.9788773,4.2886643
-44.5335064,1252985858827485388,110227.9918557,634.0002534,71.2818112,84697.8856396,431055.5265365,266626.1302849,308.2376471,151382.0097781,4.0,118126.2321093,159.6713132
-44.5026371,1252985858827485418,62.9196279,219.8144902,0.3808262,219.2848057,2334.3733028,1466.0722622,50.150996,755.6607234,19.0,392.415238,0.5487502
-44.531444,1252985858827485384,7011.9846834,296.2243559,2.7631217,9521.8963061,-30969.0290982,-43275.3341676,110.600675,-54558.3346589,7.0,9881.2386668,29.6744567
-44.517828,1252985858827485426,69.5011149,309.6640487,-0.7713057,559.2351499,-25.7026173,-1594.4522367,115.9389179,-3402.2435061,7.0,1054.1056747,2.0133766
-44.5212527,1252985858827485380,46196.6100967,519.1319338,-29.4666716,60547.887107,244459.0891313,155777.3281539,290.3466721,93956.062334,3.0,75728.8307768,127.9596861
-44.4750762,1252985858827485429,0.0955631,160.9702262,0.0503042,6.5586253,90.8591285,66.5327428,92.8414896,27.4167012,3.0,34.8896452,-0.9756678
-44.5430789,1252985858827485317,9296.2322675,895.6757357,-101.5021806,61103.0202968,586271.8329902,520836.7818485,632.142474,464065.7923966,2.0,86412.7200057,92.6601971
-44.5608734,1252985858827485315,87.6010756,184.5147191,-2.9472357,655.8813501,923.761748,53.1117024,81.858033,-1170.0588226,5.0,816.3635569,3.0797069
-44.5312775,1252985858827485314,6286.5023224,294.5418004,52.9682462,10136.166892,-172.1074922,-15661.7908595,131.4433285,-27354.2241952,5.0,11840.2032848,34.4165394
-44.5336201,1252985858827485552,246.0426448,515.4796141,-27.4229153,5717.4797609,161285.7388399,155526.1427611,364.4917137,149850.779318,2.0,8085.7374205,15.0610385
-44.6017161,1252985858827485497,96.1853297,244.5741155,-5.3481061,990.2313638,709.6261966,-619.6040554,98.236087,-1588.917196,6.0,1075.5111797,3.5843542
-44.4727965,1252985858827485484,92.2366671,228.242471,-1.6536833,584.3081671,1756.8935447,432.9342988,130.1222437,-1105.3375406,3.0,1512.3224767,5.0663085
