decl,diaObjectId,iPSFluxChi2,iPSFluxErrMean,iPSFluxMAD,iPSFluxMax,iPSFluxMean,iPSFluxMeanErr,iPSFluxMin,iPSFluxNData,iPSFluxSigma,iPSFluxStetsonJ
-44.6532429,1248666977153582183,1776104.5722946,1203.181375,-209.3864091,2268191.237419,183438.5853487,430.9202039,-31133.3510366,4.0,1102882.1645805,572.5655855
-44.6300577,1248666977153582181,3951571.5039779,1458.8662212,-693.9218854,2891607.6190276,455225.0769362,372.3668616,-20342.0466663,10.0,1102307.4584815,566.7536033
-44.4784747,1248666977153582769,47.1515008,467.0371067,-175.0774474,2146.889453,218.0789957,327.3635683,-2401.7120935,2.0,3216.3469984,5.7803263
-44.4924628,1248666977153582770,114.3973468,728.5024419,-25.7898617,3586.645614,-500.3658505,399.154823,-5067.0843031,3.0,4933.0872014,5.5765541
-44.6401067,1248658181060560234,197231.7435666,959.3312489,928.9305655,807383.9871294,316899.7944748,454.3273535,166121.5108241,4.0,287225.1515523,198.3028564
-44.6494792,1248666977153582180,62.0656376,614.3736768,2.8998568,4532.5056186,2407.5728259,184.0670343,191.9409864,10.0,1617.4735566,1.7420846
-44.6287415,1248666977153582199,159.9689839,812.1874691,1.1455028,3438.7845795,-199.815924,200.9278526,-4598.8811241,16.0,2603.3095097,2.295665
-44.6056238,1248666977153582197,48.8714655,473.1654684,1.1224705,2796.6463622,1880.7324468,154.1228708,-377.5369638,9.0,1209.9922477,0.8262375
-44.5424349,1248666977153582531,90280.9987762,723.9620445,-761.0667782,217812.2061316,-10004.6779604,406.9858113,-87600.9920147,3.0,170119.725492,147.0246101
-44.6288064,1248666977153582632,13.8630238,484.8483996,170.4721587,-1709.0659346,-2223.5843888,284.9460131,-4411.256263,2.0,1910.7371053,2.3312977
-44.5214917,1248666977153582519,65.6092212,764.1598473,8.7308132,3066.7713441,-2168.2801813,289.469041,-5099.3786122,6.0,3059.0788481,2.284315
-44.6298849,1248666977153582653,1117778.6324147,1116.0355154,1954.9977993,1403826.4680891,161404.2975754,387.352273,-97557.2854212,6.0,602283.0419989,400.7467441
-44.649634,1248666977153582654,61.1911473,428.3351477,64.1246549,2148.0277872,-112.6680609,302.6373771,-2591.7540329,2.0,3351.5318663,7.0269902
-44.5151036,1248666977153582596,5.0971746,374.5095169,-3.359356,-1236.6640313,-1483.2909465,221.7546207,-2499.6201181,2.0,893.0448133,1.1455733
-44.5244153,1248666977153582588,170.9979067,465.4853291,9.0350243,3071.0813666,-312.97877,203.4419569,-2986.1636025,5.0,2984.6547775,5.266784
-44.4926157,1248666977153582583,133.9726495,615.4114026,-6.2578042,4864.9908838,-1012.0410554,295.4667699,-4255.0564854,4.0,4103.0374093,3.7217607
-44.6433347,1248666977153582609,119.1318365,639.9872314,-4.4261973,4470.8344797,1589.3128829,176.6470075,-2889.1130574,13.0,1972.6411544,1.618315
-44.6299531,1248666977153582611,169130.023635,839.1391218,-6378.2280093,318896.5816271,-115428.9284322,444.5728042,-218130.3590474,3.0,295776.8643564,202.5001837
-44.6531823,1248666977153582556,245070.8566327,920.0204823,51.999787,774205.0489035,250173.8455445,332.4112569,121647.1772905,7.0,227636.5848595,145.7278701
-44.6298868,1248666977153582554,127632.3344509,1515.6065267,1890.8170814,1189335.1098009,903241.5879513,853.0751772,575194.7327579,3.0,352881.6490215,199.8785001
-44.5893407,1248666977153582553,35.5287904,320.0110155,-96.4270656,4867.4088251,3672.2888672,142.050545,2445.7063391,5.0,903.9566801,1.7569466
-44.5400087,1248666977153582452,5.782533,522.2972672,9.5946062,437.2392935,-143.2087488,296.7179523,-1310.6876835,3.0,942.7023132,0.4016915
-44.5903676,1248666977153582451,29.2220098,413.0000539,3.4889206,2301.4150202,845.3047856,171.650185,-269.8280219,5.0,1120.226356,1.9123339
-44.6301807,1248666977153582450,50.1972194,549.6711657,0.8589275,3617.5943369,1407.8645625,223.0313743,-497.8922655,6.0,1660.8568644,2.3312851
-44.5185525,1248666977153582447,367823.5912029,785.5468453,-153.1304316,746473.5319456,31845.6124498,294.4401738,-139500.1931293,6.0,317049.7104496,171.7546429
-44.6057108,1248666977153581626,272.9450868,681.0131843,5.6263224,6901.7254649,2840.8877507,150.52601,-3207.1103058,20.0,2339.6680255,1.9410737
-44.5525606,1248666977153581709,19.8504531,487.2438381,4.785436,2663.5582032,1098.551734,276.4866994,-98.5621137,3.0,1494.0120481,1.6192672
-44.542387,1248666977153581698,102016.9332621,715.2619484,10.7856683,157144.4822841,37910.3712851,346.4124032,-97207.8273718,4.0,118760.4564732,147.4940011
-44.5085804,1248666977153581652,21189.9362941,1335.795446,-200.2070269,755197.9096494,639350.2378136,767.5677264,501188.6383665,3.0,133462.0664921,81.3155058
-44.5244282,1248666977153581693,59.1400921,468.5899165,9.0733102,2177.0080363,-156.0385975,330.4380476,-2923.8638768,2.0,3606.8611197,6.7653355
-44.5421122,1248666977153581677,6.7525624,706.6548937,-2.3462838,61506.5951634,60091.9618421,498.2118427,58907.140644,2.0,1838.091918,1.7721095
-44.5073105,1248666977153581455,181.7069492,626.4420683,4.4428962,3778.9037887,-934.3501674,253.0941534,-4515.5550444,6.0,3667.4795069,4.0117274
-44.4923525,1248666977153581452,7.9170945,699.2980048,1.1116462,-2821.203768,-3774.45268,302.3827758,-5253.3422256,5.0,925.2576608,0.282245
-44.5216907,1248666977153581448,0.0635332,873.5435031,-0.2596458,-4480.0062293,-4615.8781862,613.8025969,-4792.0466856,2.0,220.6459226,-0.9677021
-44.5086938,1248666977153581440,1149606.9444595,947.0876845,-620.8402181,503470.6521162,-185083.7488681,279.6090663,-392613.7531203,10.0,377104.8752314,300.6139862
-44.5710004,1248666977153581439,1.2072576,500.5996242,0.6498673,-2307.2667623,-2587.1099158,342.61544,-3093.5162458,2.0,555.9623415,0.1468341
-44.5186758,1248666977153581478,112021.3766541,839.8638039,-9.7142324,363456.6566431,170534.9353052,368.9688443,-13972.4645053,5.0,137644.6075272,134.9994611
-44.5128748,1248666977153581475,236474.5699801,661.8098816,298.6236744,470798.2510296,-18304.0959569,312.2583049,-67259.3592821,3.0,309735.7766722,209.5377637
-44.5124671,1248666977153581435,1243.1735522,531.8322315,99.2698104,32927.5635603,17400.2290914,372.0933587,6315.152675,2.0,18817.8162007,32.1145357
-44.5378161,1248666977153581463,0.4564581,537.9148188,-0.6197771,-2422.7150176,-2598.7425132,364.7650269,-2943.7644983,2.0,368.4376212,-0.7262575
-44.5130417,1248666977153581461,38068.7285145,522.3643679,-38.8791868,94399.8143562,-2987.9910716,291.0968088,-50971.7514021,3.0,73778.6959854,111.5871744
-44.5599275,1248666977153581404,87.5175818,523.8954685,0.7399321,3764.8939634,1491.0086619,143.5553109,-1300.4359464,13.0,1398.554928,1.6752055
-44.5426101,1248666977153581432,69933.6545672,816.4141631,266.7796428,375794.9045018,136892.0922914,451.2745638,60697.8876132,3.0,171476.5826706,134.0876555
-44.5423684,1248666977153581480,26578.2735416,410.2499103,506.2031269,-3631.8701554,-82778.3674591,223.2234662,-102711.0120063,3.0,55465.591811,77.6042787
-44.5087585,1248666977153581535,736401.3673861,965.6686082,-63.8864607,574894.8669196,-12044.6321928,337.471693,-289608.6124474,7.0,353687.6621735,319.2723696
-44.5084276,1248666977153581526,0.0,226.1430591,-0.0221799,-1335.2569838,-1335.2569838,159.9072906,-1335.2569838,2.0,0.0,-1.0
-44.4786204,1248666977153581538,4.0221111,529.4922152,1.218071,-2214.1308981,-2881.1651736,212.5380729,-3448.9749248,6.0,425.8608807,-0.4010665
-44.5184044,1248666977153581511,896595.1560291,804.5289107,-124.7616384,714993.1691586,-11621.5385428,208.9638703,-147267.4217449,13.0,268765.4187018,224.1823524
-44.5709734,1248666977153581966,29.4099207,525.8314882,-2.7514815,2171.7076197,252.237046,213.486823,-1247.8723414,6.0,1285.2442095,1.7349178
-44.516491,1248666977153581963,0.1603574,257.1707735,-0.1928869,1430.679036,1347.7809571,180.5820995,1284.7006359,2.0,103.2223166,-0.9162273
-44.5422074,1248666977153581979,4.0021073,860.8923388,-39.3541778,224637.2347782,223407.3627299,608.720457,222201.5923948,2.0,1722.2592458,1.7275329
-44.5430047,1248666977153581938,36037.5685475,618.0279607,180.1200043,52736.1142241,-47859.417905,355.3980314,-105966.7232292,3.0,83851.6344093,102.3559313
-44.5422906,1248666977153582062,3.0685943,461.4191041,-2.7440961,-2161.9604698,-2777.2918214,265.3783364,-3196.4890299,3.0,555.1484703,0.0873247
