decl,diaObjectId,rPSFluxChi2,rPSFluxErrMean,rPSFluxLinearSlope,rPSFluxMAD,rPSFluxMax,rPSFluxMean,rPSFluxMeanErr,rPSFluxMin,rPSFluxNData,rPSFluxSigma,rPSFluxStetsonJ
-44.5204855,1248666977153581160,2076092.7906092,763.3288573,215.2955621,154287.5380484,789372.4507423,214177.7405486,160.5415386,-131270.9850066,19.0,227770.8750098,279.193613
-44.6536906,1248666977153582277,1846602.3678955,1203.4342598,-555.6190267,8863.7743365,173273.7048663,-31326.2096133,226.6925743,-691412.6518288,27.0,255385.9951841,123.9701954
-44.5262131,1248666977153582289,1.4035595,377.240266,43380.588888,316.76511,2470.8738707,2110.8650581,264.8724618,1837.3436507,2.0,447.9735147,0.5260495
-44.5206893,1248666977153582234,168746.029241,553.6450185,300.545551,75873.5600528,161840.9179015,16089.8911022,262.2469378,-105908.7689389,4.0,127774.6334053,204.8506216
-44.5073818,1248666977153582231,57.7232527,136.3520261,6.4709914,760.5486453,918.4791127,-236.103594,85.6214852,-602.6181779,2.0,1075.5782091,5.6031311
-44.6353895,1248666977153582340,120.5305673,633.8214567,8.1432601,1028.8845125,5390.7645225,1077.8083971,199.5048,-1870.2496979,10.0,2244.8801967,2.0944299
-44.5082968,1248666977153582354,0.0955426,216.8676432,10.5869737,47.4707886,-1044.3230104,-1086.6185537,152.6622142,-1139.2645877,2.0,67.1338331,-0.951012
-44.5380338,1248666977153582345,83.577634,272.3998124,-1.8808617,110.5973813,1787.3241857,96.737445,137.433933,-873.7890149,3.0,1505.4836539,5.3286723
-44.6009795,1248666977153582720,89.7369067,247.3981503,5.3371936,562.9001379,1146.9682903,-17.6428263,119.7825562,-1606.5892298,4.0,1179.8609272,3.7885306
-44.6055767,1248666977153582298,3.0823827,264.6752248,-1.6579716,116.8494278,691.3784549,429.9753967,152.1903892,93.4588766,3.0,316.9095824,0.1199731
-44.6533149,1248666977153582297,700246.2433954,691.0068449,-1051.6404872,54397.3852588,815753.8769097,255924.6063761,235.3701216,146796.9480805,7.0,279753.6780457,263.8947184
-44.5423375,1248666977153582309,24740.527117,572.4091444,29898.5935982,21572.2167934,154333.0097686,99490.7183991,325.8807819,41015.6955538,3.0,60171.0577425,89.1539043
-44.5127654,1248666977153582099,40.0422095,357.5857811,-10.4846233,1620.3251137,-47133.5575493,-48248.8132433,243.3032933,-50374.2077767,2.0,2291.4857512,4.9244922
