decl,diaObjectId,gPSFluxChi2,gPSFluxErrMean,gPSFluxLinearSlope,gPSFluxMAD,gPSFluxMax,gPSFluxMean,gPSFluxMeanErr,gPSFluxMin,gPSFluxNdata,gPSFluxSigma,gPSFluxStetsonJ
-44.2839515,1248710957618692292,75.6256199,190.1856838,-0.3500709,554.5410382,1184.6648439,42.2387128,92.5980538,-886.6399771,4.0,868.007385,3.8556231
-44.303276,1248710957618692290,76.4539069,232.5728948,0.0335677,430.8646183,1430.6077091,748.5763537,72.0535532,-679.1082113,10.0,699.247796,1.9039146
-44.2396993,1248710957618692342,609615.5783778,414.4774503,138.9607029,26246.8397972,304675.0672964,-46957.874775,132.3787307,-99900.1901672,8.0,165603.6446175,207.1616637
-44.274984,1248710957618692339,86291.7482741,374.7666706,427.9631086,81944.4283682,154244.8666478,23673.3793015,224.5302674,-9643.9900885,2.0,115886.9219592,232.2111184
-44.2249231,1248710957618692337,290.2153959,213.2241538,1.5445343,580.1756042,1989.2742967,72.838021,78.5838977,-1198.5230493,7.0,1395.6602315,5.8332056
-44.2238606,1248710957618692335,1.0369612,104.5365789,0.1326089,75.4462882,981.3202865,916.0953507,73.4064079,830.42771,2.0,106.6971641,0.0405718
-44.3880077,1248710957618692323,21.5798623,224.7114702,1.0427315,287.9256663,-630.8525293,-951.2139809,105.8873458,-1849.7292796,3.0,637.0807958,2.6711766
-44.376672,1248710957618692245,0.4002608,280.226337,0.6889083,125.388954,-1423.3359973,-1553.9356125,198.0215452,-1674.1139054,2.0,177.3267593,-0.7743116
-44.425067,1248710957618692242,11.6430912,461.9986856,25.5145908,1130.8327652,22.9180732,-1483.0956379,312.6375799,-2238.7474573,2.0,1599.2390333,2.3033036
-44.2884368,1248710957618692239,1105804.5979776,636.3686574,625.9674358,196455.1936783,518163.7024086,-8328.2421375,215.8751189,-204698.7534,7.0,298660.1091425,372.4291279
-44.2882228,1248710957618692235,2309518.8708661,759.4885908,-859.3334567,148223.8988498,1234884.219968,56625.2226357,220.8867385,-186754.0776152,7.0,572190.9197958,468.4194701
-44.277005,1248710957618692234,20.6616335,516.9951903,-7.8585606,1661.7298103,968.7828785,-711.2396955,365.5541915,-2354.6767421,2.0,2350.0408348,3.8199914
