galaxy,name,ra,dec,vmag,errvmag,bmag,errbmag,rmag,errrmag,imag,errimag,per_fo,per_fu,dominant_mode,ampv,err_ampv,ampb,err_ampb,ampr,err_ampr,ampi,err_ampi,ampv_sec,err_ampv_sec,ampb_sec,err_ampb_sec
S,V416,,,,,,,,,,,0.35649665,0.47891027,1,0.39,0.04,0.65,0.04,NaN,NaN,NaN,NaN,0.21,0.04,0.29,0.03
S,V468,,,,,,,,,,,0.3531207,0.47446151,1,0.42,0.03,0.53,0.05,NaN,NaN,NaN,NaN,0.21,0.02,0.29,0.04
S,V187,,,,,,,,,,,0.3813162,0.511935,1,0.5,0.05,0.57,0.05,NaN,NaN,NaN,NaN,0.16,0.03,0.22,0.03
S,V93,,,,,,,,,,,0.3495626,0.46947214,1,0.47,0.05,0.45,0.04,NaN,NaN,NaN,NaN,0.15,0.03,0.16,0.03
S,V365,,,,,,,,,,,0.35604457,0.47762153,1,0.42,0.04,0.54,0.05,NaN,NaN,NaN,NaN,0.1,0.03,0.17,0.03
S,V102,,,,,,,,,,,0.35405658,0.31489633,1,0.52,0.05,0.56,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
S,V252,,,,,,,,,,,0.353666,0.47405309,1,0.26,0.04,0.26,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
S,V314,,,,,,,,,,,0.3681475,0.4644601,1,0.4,0.04,0.52,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
S,V539,,,,,,,,,,,0.35591951,0.47700002,1,0.42,0.04,0.55,0.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
S,V56,,,,,,,,,,,0.37922708,0.34738621,1,0.39,0.03,0.6,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
S,V66,,,,,,,,,,,0.3417124,0.45891154,1,0.36,0.04,0.6,0.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
