FBW,o_Vmag,Vmag,e_Vmag,o_Icmag,Icmag,e_Icmag,WS,Period,E(B-V),_RA,_DE
J024033.3-343131,15,21.446,0.029,14,20.81,0.057,2.479,0.58205,0.022,40.1387,-34.5253
J024033.5-342557,14,21.496,0.029,14,20.839,0.055,1.73,0.59141,0.02,40.1396,-34.4325
J024033.7-343758,15,21.376,0.025,14,20.909,0.057,0.98,0.56408,0.024,40.1404,-34.6328
J024033.9-343534,14,21.418,0.027,14,20.99,0.056,1.957,0.57182,0.024,40.1412,-34.5928
J024034.3-343421,14,21.52,0.028,14,21.087,0.066,1.746,0.50226,0.023,40.1429,-34.5725
J024035.1-342227,14,21.339,0.026,14,20.898,0.056,1.034,0.6754,0.02,40.1462,-34.3742
J024035.3-342408,14,21.344,0.03,14,20.821,0.062,2.454,0.53101,0.02,40.1471,-34.4022
J024035.7-343209,14,21.414,0.028,14,20.797,0.054,2.469,0.55057,0.022,40.1487,-34.5358
J024037.1-342311,14,21.418,0.026,14,20.902,0.054,1.646,0.67336,0.02,40.1546,-34.3864
J024037.3-343505,14,21.324,0.028,13,20.813,0.059,1.213,0.57934,0.024,40.1554,-34.5847
J024038.0-342018,14,21.448,0.026,14,20.927,0.056,3.821,0.56542,0.022,40.1583,-34.3383
J024038.1-342244,14,21.445,0.029,14,20.897,0.059,1.577,0.62654,0.021,40.1587,-34.3789
J024039.0-342035,14,21.417,0.028,14,20.956,0.058,2.764,0.56709,0.022,40.1625,-34.3431
J024039.1-342722,14,21.574,0.034,14,21.293,0.075,1.149,0.53045,0.021,40.1629,-34.4561
J024040.0-342545,14,21.471,0.032,14,21.043,0.073,1.038,0.35811,0.02,40.1667,-34.4292
J024040.0-343323,14,21.361,0.027,14,20.843,0.051,1.989,0.582,0.023,40.1667,-34.5564
J024041.1-342043,15,21.165,0.02,14,20.728,0.047,1.38,0.59853,0.022,40.1712,-34.3453
J024041.1-343721,14,21.347,0.025,14,20.724,0.048,1.617,0.61214,0.024,40.1712,-34.6225
J024041.5-342416,14,21.327,0.025,14,20.881,0.054,1.462,0.55167,0.02,40.1729,-34.4044
J024042.1-343701,14,21.349,0.027,14,20.836,0.055,1.792,0.366,0.024,40.1754,-34.6169
J024043.6-343013,14,21.469,0.03,14,21.024,0.061,2.66,0.53032,0.021,40.1817,-34.5036
J024044.0-343728,15,21.26,0.023,13,20.735,0.051,1.221,0.61488,0.024,40.1833,-34.6244
J024044.6-342713,14,21.358,0.026,13,20.845,0.06,1.536,0.56902,0.021,40.1858,-34.4536
J024045.3-342045,15,21.483,0.024,15,20.979,0.057,1.387,0.54694,0.022,40.1887,-34.3458
J024045.9-343159,14,21.47,0.027,14,20.802,0.053,1.516,0.61219,0.022,40.1912,-34.5331
J024046.1-343648,14,21.446,0.028,14,21.012,0.058,2.319,0.55789,0.023,40.1921,-34.6133
J024047.3-343145,14,21.468,0.03,14,21.003,0.062,2.892,0.57589,0.022,40.1971,-34.5292
J024047.7-342813,15,21.271,0.022,14,20.89,0.052,3.172,0.55043,0.021,40.1987,-34.4703
J024048.4-342445,14,21.322,0.024,14,20.786,0.051,1.331,0.65091,0.021,40.2017,-34.4125
J024048.9-341933,15,21.378,0.025,15,20.947,0.054,1.135,0.57305,0.022,40.2037,-34.3258
J024049.3-342012,15,21.2,0.022,14,20.552,0.047,2.533,0.70548,0.022,40.2054,-34.3367
J024049.7-343347,14,21.282,0.024,14,20.824,0.051,0.983,0.55696,0.023,40.2071,-34.5631
J024050.3-342837,14,21.283,0.025,14,20.752,0.053,1.805,0.6129,0.021,40.2096,-34.4769
J024050.8-343615,15,21.281,0.022,15,20.803,0.05,0.9,0.54171,0.023,40.2117,-34.6042
J024051.5-342939,14,21.402,0.027,14,20.882,0.058,0.923,0.5915,0.021,40.2146,-34.4942
J024051.7-343234,14,21.289,0.024,14,20.742,0.049,1.277,0.55765,0.022,40.2154,-34.5428
J024052.1-342104,15,21.385,0.025,14,20.69,0.05,1.507,0.6078,0.022,40.2171,-34.3511
J024052.2-343137,15,21.433,0.027,15,21.036,0.061,1.337,0.57167,0.022,40.2175,-34.5269
J024053.3-342312,15,21.255,0.022,14,20.711,0.046,1.52,0.66879,0.022,40.2221,-34.3867
J024053.3-343013,14,21.428,0.026,14,20.914,0.06,0.99,0.57638,0.022,40.2221,-34.5036
J024053.5-341912,14,21.472,0.03,14,20.894,0.064,1.372,0.61356,0.023,40.2229,-34.32
J024053.5-343456,14,21.358,0.026,14,20.74,0.053,2.287,0.61577,0.023,40.2229,-34.5822
J024054.1-343750,14,21.338,0.023,14,20.901,0.053,1.116,0.60959,0.023,40.2254,-34.6306
J024054.6-343314,14,21.567,0.038,14,21.077,0.081,1.04,0.53862,0.023,40.2275,-34.5539
J024056.8-343705,14,21.399,0.026,14,20.773,0.053,1.558,0.61625,0.023,40.2367,-34.6181
J024056.9-342805,15,21.504,0.028,15,20.864,0.054,1.13,0.58676,0.021,40.2371,-34.4681
J024058.4-342642,15,21.423,0.025,14,20.927,0.057,1.473,0.59647,0.021,40.2433,-34.445
J024059.1-341938,14,21.301,0.025,14,20.82,0.057,6.204,0.56139,0.023,40.2462,-34.3272
J024100.4-343533,14,21.381,0.026,14,20.818,0.055,3.498,0.56508,0.023,40.2517,-34.5925
J024101.2-343417,14,21.488,0.026,14,20.791,0.053,2.228,0.65264,0.023,40.255,-34.5714
J024102.1-342142,15,21.296,0.021,14,20.871,0.055,2.18,0.57363,0.023,40.2587,-34.3617
J024102.9-343612,14,21.412,0.029,14,20.964,0.06,1.004,0.57175,0.023,40.2621,-34.6033
J024103.2-342453,14,21.414,0.031,14,20.967,0.067,1.15,0.59773,0.022,40.2633,-34.4147
J024103.5-342945,14,21.474,0.029,14,20.984,0.066,2.303,0.53578,0.022,40.2646,-34.4958
J024104.2-342848,14,21.296,0.025,14,20.764,0.051,5.306,0.57956,0.021,40.2675,-34.48
J024104.4-343515,14,21.511,0.029,14,21.019,0.059,3.421,0.54184,0.023,40.2683,-34.5875
J024104.5-342022,14,21.17,0.024,14,20.889,0.055,1.826,0.58342,0.023,40.2687,-34.3394
J024104.8-342117,14,21.407,0.028,14,20.917,0.057,4.193,0.5716,0.023,40.27,-34.3547
J024105.9-342913,14,21.543,0.03,12,20.909,0.062,1.162,0.52571,0.022,40.2746,-34.4869
J024108.6-341929,14,21.364,0.026,14,20.891,0.053,1.358,0.66306,0.023,40.2858,-34.3247
J024108.8-343317,14,21.286,0.024,14,20.8,0.048,1.033,0.61681,0.023,40.2867,-34.5547
J024109.0-341927,14,21.338,0.026,13,20.814,0.058,2.041,0.61044,0.023,40.2875,-34.3242
J024111.4-342006,13,21.512,0.031,13,20.859,0.061,1.52,0.53518,0.023,40.2975,-34.335
J024113.5-343320,12,21.478,0.027,12,21.015,0.066,4.439,0.55658,0.023,40.3062,-34.5556
